"Reference";"Qty";"Value";"DNP";"Manufacturer";"MPN";"RoHS";"Unity Price (DigiKey, US$)";"Datasheet";"DigiKey";"Mouser"
"Ca1";"1";"10 uF";"";"Murata Electronics";"GRM188R6YA106MA73D";"Compliant";"0.1";"https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GRM188R6YA106MA73-01A-EN_PDF_CERAMICCAPACITORSMD";"https://www.digikey.com/en/products/detail/murata-electronics/GRM188R6YA106MA73D/5877411";"https://www.mouser.com/ProductDetail/Murata-Electronics/GRM188R6YA106MA73D?qs=I53XXhTNm8uKsiF7Obn3Gg%3D%3D"
"Cb1,Cb2,Cb3";"3";"10 uF";"";"Murata Electronics";"GRM188Z71A106KA73D";"Compliant";"0.1";"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188Z71A106KA73-01A.pdf";"https://www.digikey.com/en/products/detail/murata-electronics/GRM188Z71A106KA73D/13401725";"https://www.mouser.com/ProductDetail/Murata-Electronics/GRM188Z71A106KA73D?qs=d0WKAl%252BL4KaRM1L%252BaIs%2FqQ%3D%3D"
"Cd1,Cd2,Cd3,Cd4";"4";"100 nF";"";"Samsung Electro-Mechanics";"CL10B104JB8NNNC";"Compliant";"0.1";"https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10B104JB8NNNC_Spec.pdf";"https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104JB8NNNC/3886691?s=N4IgTCBcDaIMIBkCMAGAQqgLAKTQDgDki4QBdAXyA";"https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL10B104JB8NNNC?qs=349EhDEZ59oLEw5wc1qvGw%3D%3D"
"Ce1";"1";"1 uF";"";"Samsung Electro-Mechanics";"CL10A105KB8NNNC";"Compliant";"0.11";"https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10A105KB8NNNC_Spec.pdf";"https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A105KB8NNNC/3887518";"https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL10A105KB8NNNC?qs=ktYoCbbtCSJz4pFCLWXd5g%3D%3D"
"D1";"1";"LTST-C190KFKT";"";"Lite-On";"LTST-C190KFKT";"Compliant";"0.12";"https://optoelectronics.liteon.com/upload/download/DS-22-99-0186/LTST-C190KFKT.PDF";"https://www.digikey.com/en/products/detail/liteon/LTST-C190KFKT/386813";"https://www.mouser.com/ProductDetail/LITEON/LTST-C190KFKT?qs=6QHXI9jVcTyVErVIqD1vhg%3D%3D"
"J1";"1";"61300411121";"DNP";"Würth Elektronik";"61300411121";"Compliant";"0.19";"https://www.we-online.com/components/products/datasheet/61300411121.pdf";"https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300411121/4846827?s=N4IgTCBcDaIGwEYDMAGFAWBWwJAXQF8g";"https://www.mouser.com/ProductDetail/Wurth-Elektronik/61300411121?qs=PhR8RmCirEYQcLLqXD8rAA%3D%3D"
"L1";"1";"Abracon LLC ASPI-6045S-6R8M-T";"";"Abracon LLC";"ASPI-6045S-6R8M-T";"Compliant";"0.4";"https://abracon.com/Magnetics/power/ASPI-6045S.pdf";"https://www.digikey.com/en/products/detail/abracon-llc/ASPI-6045S-6R8M-T/2343387";"https://www.mouser.com/ProductDetail/ABRACON/ASPI-6045S-6R8M-T?qs=Y3s8Jkk9bu9mAbWIGyDq8w%3D%3D"
"R1";"1";"0 Ω";"";"YAGEO";"RC0603FR-070RL";"Compliant";"0.1";"https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L";"https://www.digikey.com/en/products/detail/yageo/RC0603FR-070RL/1304008?s=N4IgTCBcDaIJ4EMDmBTA9gAgE4GMAMAbHgMwBmWAtHgOx5YA2IAugL5A";"https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-070RL?qs=0yPvnVz5%2FmpDQv43TwvCfw%3D%3D"
"R2";"1";"10 kΩ";"DNP";"YAGEO";"RC0603FR-0710KL";"Compliant";"0.1";"https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L";"https://www.digikey.com/en/products/detail/yageo/RC0603FR-0710KL/726880?s=N4IgTCBcDaIEoGEAMA2JBmAYnAtEg7AIxIDSAMiALoC%2BQA";"https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-0710KL?qs=grNVn54RoB%252B3GtjbJj3wJQ%3D%3D"
"R3";"1";"1 kΩ";"";"YAGEO";"RC0603FR-071KL";"Compliant";"0.1";"https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L";"https://www.digikey.com/en/products/detail/yageo/RC0603FR-071KL/726843?s=N4IgTCBcDaIEoGEAMA2JBmAYnAtEg7AIwDSAMiALoC%2BQA";"https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-071KL?qs=VU8sRB4EgwApHsk4rF%2F3zg%3D%3D"
"R4";"1";"10 kΩ";"";"YAGEO";"RC0603FR-0710KL";"Compliant";"0.1";"https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L";"https://www.digikey.com/en/products/detail/yageo/RC0603FR-0710KL/726880?s=N4IgTCBcDaIEoGEAMA2JBmAYnAtEg7AIxIDSAMiALoC%2BQA";"https://www.mouser.com/ProductDetail/YAGEO/RC0603FR-0710KL?qs=grNVn54RoB%252B3GtjbJj3wJQ%3D%3D"
"U1";"1";"AP63205WU-7";"";"Diodes Incorporated";"AP63205WU-7";"Compliant";"0.8";"https://www.diodes.com/assets/Datasheets/AP63200-AP63201-AP63203-AP63205.pdf";"https://www.digikey.com/en/products/detail/diodes-incorporated/AP63205WU-7/9858424?s=N4IgTCBcDaIIIAUBsBmMAGArAdQKoFoB2EAXQF8g";"https://www.mouser.com/ProductDetail/Diodes-Incorporated/AP63205WU-7?qs=u16ybLDytRZtkj8PzdWCOw%3D%3D"
"Cf1";"1";"100 pF";"DNP";"Samsung Electro-Mechanics";"CL10C101JB8NNNC";"Compliant";"0.1";"https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL10C101JB8NNNC_Spec.pdf";"https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10C101JB8NNNC/3886666";"https://www.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL10C101JB8NNNC?qs=349EhDEZ59pXXooLigsK%2FQ%3D%3D"
